date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:20	6939/6939	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:24%20GMT	http://www.w3school.com.cn/e4x/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/e4x/index.html	(from http://www.w3school.com.cn/)
02:16:21	6818/6818	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:25%20GMT	http://www.w3school.com.cn/wmlscript/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/wmlscript/index.html	(from http://www.w3school.com.cn/)
02:16:22	13546/13546	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:25%20GMT	http://www.w3school.com.cn/php/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/php/index.html	(from http://www.w3school.com.cn/)
02:16:22	10472/10472	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:26%20GMT	http://www.w3school.com.cn/sql/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/sql/index.html	(from http://www.w3school.com.cn/)
02:16:23	9110/9110	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:26%20GMT	http://www.w3school.com.cn/asp/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/asp/index.html	(from http://www.w3school.com.cn/)
02:16:23	7415/7415	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:27%20GMT	http://www.w3school.com.cn/ado/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/ado/index.html	(from http://www.w3school.com.cn/)
02:16:24	6728/6728	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:27%20GMT	http://www.w3school.com.cn/vbscript/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/vbscript/index.html	(from http://www.w3school.com.cn/)
02:16:24	12090/12090	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:28%20GMT	http://www.w3school.com.cn/xml/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xml/index.html	(from http://www.w3school.com.cn/)
02:16:25	6581/6581	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:28%20GMT	http://www.w3school.com.cn/dtd/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/dtd/index.html	(from http://www.w3school.com.cn/)
02:16:26	10890/10890	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:16:29%20GMT	http://www.w3school.com.cn/xmldom/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/xmldom/index.html	(from http://www.w3school.com.cn/)
